2026 U.S. Olympic Team,,,,,,
First name,Last name,Sport,Hometown City,Hometown State/Country,Event,
Deedra,Irwin,Biathlon,Pulaski,Wisconsin,Women's Biathlon,
Lucinda,Anderson,Biathlon,Golden Valley,Minnesota,Women's Biathlon,
Margaret,Freed,Biathlon,Apple Valley,Minnesota,Women's Biathlon,
Maxime,Germain,Biathlon,Juneau,Alaska,Men's Biathlon,
Paul,Schommer,Biathlon,Appleton,Wisconsin,Men's Biathlon,
Sean,Doherty,Biathlon,Center Conway,New Hampshire,Men's Biathlon,
Joanne,Reid,Biathlon,Palo Alto,California,Women's Biathlon,
Campbell,Wright,Biathlon,Wanaka,New Zealand,Men's Biathlon,
Elana,Meyers Taylor,Bobsled,Douglasville,Georgia,"Two-woman Bobsled, Monobob",
Boone,Niederhofer,Bobsled,San Antonio,Texas,Men's Bobsled,
Frank,Del Duca,Bobsled,Bethel,Maine,Men's Bobsled,
Jasmine,Jones,Bobsled,Greensburg,Pennsylvania,Two-woman Bobsled,
Joshua,Williamson,Bobsled,Sanford,Florida,Men's Bobsled,
Kristopher,Horn,Bobsled,Pembroke,Massachusetts,Men's Bobsled,
Hunter,Powell,Bobsled,Fort Collins,Colorado,Men's Bobsled,
Kaysha,Love,Bobsled,Herriman,Utah,"Two-woman Bobsled, Monobob",
Azaria,Hill,Bobsled,Santa Clarita,California,Two-woman Bobsled,
Bryan,Sosoo,Bobsled,Laurel,Maryland,Men's Bobsled,
Caleb,Furnell,Bobsled,Lees Summit,Missouri,Men's Bobsled,
Carsten,Vissering,Bobsled,Bethesda,Maryland,Men's Bobsled,
Kaillie,Humphries,Bobsled,"Calgary, Alberta",Canada,"Two-woman Bobsled, Monobob",
Jadin,O'Brien,Bobsled,Pewaukee,Wisconsin,Two-woman Bobsled,
Jessie,Diggins,Cross-Country Skiing,Afton,Minnesota,Women's Cross-Country Skiing,
Rosie,Brennan,Cross-Country Skiing,Park City,Utah,Women's Cross-Country Skiing,
Julia,Kern,Cross-Country Skiing,Waltham,Massachusetts,Women's Cross-Country Skiing,
Novie,McCabe,Cross-Country Skiing,Winthrop,Washington,Women's Cross-Country Skiing,
Gus,Schumacher,Cross-Country Skiing,Anchorage,Alaska,Men's Cross-Country Skiing,
Ben,Ogden,Cross-Country Skiing,Landgrove,Vermont,Men's Cross-Country Skiing,
Zak,Ketterson,Cross-Country Skiing,Bloomington,Minnesota,Men's Cross-Country Skiing,
James,Schoonmaker,Cross-Country Skiing,Tahoe City,California,Men's Cross-Country Skiing,
Zanden,McMullen,Cross-Country Skiing,Anchorage,Alaska,Men's Cross-Country Skiing,
John,Steel Hagenbuch,Cross-Country Skiing,Ketchum,Idaho,Men's Cross-Country Skiing,
Lauren,Jortberg,Cross-Country Skiing,Boulder,Colorado,Women's Cross-Country Skiing,
Kendall,Kramer,Cross-Country Skiing,Fairbanks,Alaska,Women's Cross-Country Skiing,
Hunter,Wonders,Cross-Country Skiing,Anchorage,Alaska,Men's Cross-Country Skiing,
Samantha,Smith,Cross-Country Skiing,Boise,Idaho,Women's Cross-Country Skiing,
Jack,Young,Cross-Country Skiing,Jay,Vermont,Men's Cross-Country Skiing,
Hailey,Swirbul,Cross-Country Skiing,El Jebel,Colorado,Women's Cross-Country Skiing,
Korey,Dropkin,Curling,Southborough,Massachusetts,Mixed Doubles,
Cory,Thiesse,Curling,Duluth,Minnesota,"Women's Team, Mixed Doubles",
Tabitha,Lovick,Curling,Eagan,Minnesota,Women's Team,
Taylor,Anderson,Curling,Broomall,Pennsylvania,Women's Team,
Tara,Peterson,Curling,Eagan,Minnesota,Women's Team,
Luc,Violette,Curling,Lake Stevens,Washington,Men's Team,
Benjamin,Richardson,Curling,Seattle,Washington,Men's Team,
Rich,Ruohonen,Curling,Brooklyn Park,Minnesota,Men's Team,
Aidan,Oldenburg,Curling,Mapleton,Minnesota,Men's Team,
Daniel,Casper,Curling,Briarcliff Manor,New York,Men's Team,
Aileen,Geving,Curling,Duluth,Minnesota,Women's Team,
Nicholas,Goepper,Freeski,Lawrencburg,Indiana,Halfpipe,
Alexander,Ferreira,Freeski,Aspen,Colorado,Halfpipe,
Troy,Podmilsak,Freeski,Park City,Utah,"Slopestyle, Big Air",
Hunter,Hess,Freeski,Bend,Oregon,Halfpipe,
Birk,Irving,Freeski,Winter Park,Colorado,Halfpipe,
Kate,Gray,Freeski,Mammoth Lakes,California,Halfpipe,
Riley,Jacobs,Freeski,Oak Creek,Colorado,Halfpipe,
Grace,Henderson,Freeski,Durham,New Hampshire,"Slopestyle, Big Air",
Mac,Forehand,Freeski,Winhall,Vermont,"Slopestyle, Big Air",
Konnor,Ralph,Freeski,Helena,Montana,"Slopestyle, Big Air",
Marin,Hamill,Freeski,Park City,Utah,"Slopestyle, Big Air",
Rell,Harwood,Freeski,Park City,Utah,"Slopestyle, Big Air",
Avery,Krumme,Freeski,Squamish,Utah,"Slopestyle, Big Air",
Abby,Winterberger,Freeski,Truckee,California,Halfpipe,
Alexander,Hall,Freeski,Salt Lake City,Utah,"Slopestyle, Big Air",
Svea,Irving,Freeski,Winter Park,Colorado,Halfpipe,
Olivia,Giaccio,Freestyle Skiing,Redding,Connecticut,Moguls,
Kaila,Kuhn,Freestyle Skiing,Boyne City,Michigan,Aerials,
Jaelin,Kauf,Freestyle Skiing,Alta,Wyoming,Moguls,
Quinn,Dehlinger,Freestyle Skiing,Cincinnati,Ohio,Aerials,
Elizabeth,Lemley,Freestyle Skiing,Vail,Colorado,Moguls,
Dylan,Walczyk,Freestyle Skiing,Rochester,New York,Moguls,
Nick,Page,Freestyle Skiing,Park City,Utah,Moguls,
Landon,Wendler,Freestyle Skiing,Steamboat Springs,Colorado,Moguls,
Tess,Johnson,Freestyle Skiing,Vail,Colorado,Moguls,
Winter,Vinecki,Freestyle Skiing,Gaylord,Michigan,Aerials,
Tasia,Tanner,Freestyle Skiing,Park CIty,Utah,Aerials,
Derek,Krueger,Freestyle Skiing,Chagrin falls,Ohio,Aerials,
Christopher,Lillis,Freestyle Skiing,Rochester,New York,Aerials,
Connor,Curran,Freestyle Skiing,Cincinnati,Ohio,Aerials,
Kyra,Dossa,Freestyle Skiing,cleveland,Ohio,Aerials,
Charlie,Mickel,Freestyle Skiing,Durango,Colorado,Moguls,
Alysa,Liu,Figure Skating,Oakland,California,Women Single Skating,
Amber,Glenn,Figure Skating,Plano,Texas,Women Single Skating,
Andrew,Torgashev,Figure Skating,Coral Springs,Florida,Men Single Skating,
Anthony,Ponomarenko,Figure Skating,San Jose,California,Ice Dance,
Christina,Carreira,Figure Skating,St Clair,Michigan,Ice Dance,
Daniel,O'Shea,Figure Skating,Colorado Springs,Colorado,Pair Skating,
Evan,Bates,Figure Skating,Ann Arbor,Michigan,Ice Dance,
Ilia,Malinin,Figure Skating,Vienna,Virginia,Men Single Skating,
Isabeau,Levito,Figure Skating,Mount Laurel,New Jersey,Women Single Skating,
Madison,Chock,Figure Skating,Redondo Beach,California,Ice Dance,
